Title,Subtitle,Description,Thumbnail Link,Book Purchase Link,Author,Category,Link
Turtle in Paradise,,"During the Great Depression, an eleven-year-old girl tackles challenges and finds adventure when she moves in with relatives in Key West, Florida.",https://cdn.vocabulary.com/units/6woosd5j/cover.jpg?width=220&v=17c0458cf1c,https://www.amazon.com/dp/0375836909?tag=vocabulary01-20,Jennifer L. Holm,"Grade 5,Literature",/lists/6woosd5j/turtle-in-paradise
Habibi,,"When her Arab-American family moves to Jerusalem, Liyana is unprepared for the prejudice they face — or for the close bond she forms with a Jewish boy named Omer.",https://cdn.vocabulary.com/units/6wsff2xa/cover.jpeg?width=220&v=16c256d394e,https://www.amazon.com/dp/0689825234?tag=vocabulary01-20,Naomi Shihab Nye,Literature,/lists/6wsff2xa/habibi
Vincent and Theo,,This award-winning book explores the relationship between artist Vincent van Gogh and his brother Theo.,https://cdn.vocabulary.com/units/6wtffwqe/cover.jpeg?width=220&v=16c2500ca4b,https://www.amazon.com/dp/0805093397?tag=vocabulary01-20,Deborah Heiligman,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Non-Fiction",/lists/6wtffwqe/vincent-and-theo
The Graveyard Book,,"This spooky novel tells the story of Bod, a young boy who is raised in a cemetery by ghosts after his parents are murdered.",https://cdn.vocabulary.com/units/6ygwqzol/cover.jpeg?width=220&v=16c2fee89de,https://www.amazon.com/dp/0060530944?tag=vocabulary01-20,Neil Gaiman,"Grade 6,Literature",/lists/6ygwqzol/graveyard-book
Tolkien Reading Day,,"Tolkien Reading Day has been celebrated on March 25th every year since 2003. March 25th was chosen as the day to commemorate the life and works of J.R.R. Tolkien because that was the date of the downfall of Sauron in Tolkien's The Lord of the Rings. Whether you're a diehard fan of the renowned author or just starting to read his works, celebrate Tolkien Reading Day with this collection of vocabulary that comes from some of his most popular works.",https://cdn.vocabulary.com/units/6yr66jyo/feature.png?width=500&v=195b8db392d,,,Just for Fun,/lists/6yr66jyo/tolkien-reading-day
Children of Blood and Bone,,"In the first novel in Adeyemi's fantasy series, Zélie attempts to overthrow a repressive king and bring magic back to her land.",https://cdn.vocabulary.com/units/6zn2zcmu/cover.jpeg?width=220&v=16c777ab3d0,https://www.amazon.com/dp/1250170974?tag=vocabulary01-20,Tomi Adeyemi,"Grade 8,Literature,Non-Fiction",/lists/6zn2zcmu/children-of-blood-and-bone
Esperanza Rising,,"When tragedy strikes, Esperanza's family has to leave their ranch in Mexico and move to a farmworkers' camp during the Great Depression.",https://cdn.vocabulary.com/units/6zody5y3/cover.jpeg?width=220&v=16d5036acf2,https://www.amazon.com/dp/043912042X?tag=vocabulary01-20,Pam Muñoz Ryan,"Grade 5,Literature,Non-Fiction",/lists/6zody5y3/esperanza-rising
A Bounty of November Resources,Feast on This Cornucopia of Lists,"Gobble up this autumnal assortment of lists for November’s holidays and special events, including Native American Heritage Month, National Aviation Month, Thanksgiving, Election Day, Veterans Day, and even National Pickle Day.",https://cdn.vocabulary.com/units/6zs5wd3x/feature.png?width=500&v=16e436b04e4,,,Just for Fun,/lists/6zs5wd3x/bounty-of-november-resources
Kristy's Great Idea,,"In this first book of The Baby-Sitters Club series, twelve-year-old Kristin Amanda Thomas comes up with the idea to team up with other baby-sitters to advertise and make appointments for individual services in their small Connecticut town.",https://cdn.vocabulary.com/units/724lsct7/cover.png?width=220&v=18974cf6b2e,https://www.amazon.com/dp/1338642200?tag=vocabulary01-20,Ann M. Martin,"Literature,Just for Fun",/lists/724lsct7/kristys-great-idea
Frankenstein,,"In this groundbreaking novel, Dr. Victor Frankenstein works feverishly to bring an inanimate creature to life — but when he finally succeeds, he is horrified by what he has unleashed. Read the full text here.",https://cdn.vocabulary.com/units/72ofxrtn/cover.jpeg?width=220&v=181495bab8e,https://www.amazon.com/dp/0393927938?tag=vocabulary01-20,Mary Shelley,"Grade 10,Grade 12,Literature",/lists/72ofxrtn/frankenstein
