Title,Subtitle,Description,Thumbnail Link,Book Purchase Link,Author,Category,Link
Measuring Up,,Cici enters a cooking contest in hopes of winning enough money to buy her grandmother a plane ticket from Taiwan to the U.S.,https://cdn.vocabulary.com/units/gu3ux2mi/cover.jpeg?width=220&v=17aa0189c5a,https://www.amazon.com/dp/006297386X?tag=vocabulary01-20,Lily LaMotte,"Grade 5,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/gu3ux2mi/measuring-up
El Deafo,,"In this graphic memoir, Cece Bell chronicles the struggles and triumphs of growing up deaf. Learn these words from the award-winning book.",https://cdn.vocabulary.com/units/gu4u67jg/cover.jpeg?width=220&v=16d1dfec764,https://www.amazon.com/dp/1419712179?tag=vocabulary01-20,Cece Bell,"Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Non-Fiction",/lists/gu4u67jg/el-deafo
Beloved,,"Winner of the Pulitzer Prize, Morrison's novel tells the story of Sethe, a formerly enslaved woman who is haunted by her past.",https://cdn.vocabulary.com/units/gvazalnx/cover.jpeg?width=220&v=16c880242f4,https://www.amazon.com/dp/0099760118?tag=vocabulary01-20,Toni Morrison,"Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/gvazalnx/beloved
"Burn Down, Rise Up",,"When people mysteriously disappear and her mother is attacked by an infectious patient, sixteen-year-old Raquel Celestin and her friends start an investigation that leads them to a dangerous game in the tunnels of the Bronx.",https://cdn.vocabulary.com/units/gvrxbuoq/cover.png?width=220&v=1886e081df5,https://www.amazon.com/dp/1728268648?tag=vocabulary01-20,Vincent Tirado,Literature,/lists/gvrxbuoq/burn-down-rise-up
The Mayor of Casterbridge,,"Michael Henchard, the Mayor of Casterbridge, is a successful and well-respected merchant — but if his shadowy past is exposed, he could lose everything. Read the full texthere.",https://cdn.vocabulary.com/units/gvwgdhlv/cover.jpeg?width=220&v=17a5eb210c6,https://www.amazon.com/dp/B0951LPRKP?tag=vocabulary01-20,Thomas Hardy,Just for Fun,/lists/gvwgdhlv/mayor-of-casterbridge
120 Words Every 10th Grader Should Know,Vocabulary You Need to Succeed,"By analyzing student data and commonly taught texts, Vocabulary.com has compiled this collection of essential vocabulary for students in 10th grade. Master high-frequency, high-utility words that you'll encounter across the curriculum.",https://cdn.vocabulary.com/units/gw5mfvr5/feature.png?width=500&v=17d106a7c82,,,Grade 10,/lists/gw5mfvr5/120-words-every-10th-grader-should-know
Shadowshaper,,"When her Brooklyn neighborhood is threatened, Sierra must master and protect an ancestral form of magic called shadowshaping.",https://cdn.vocabulary.com/units/gw7wtv66/cover.jpeg?width=220&v=16aeaaa6958,https://www.amazon.com/dp/133803247X?tag=vocabulary01-20,Daniel José Older,"Literature,Non-Fiction",/lists/gw7wtv66/shadowshaper
150 Words Every 6th Grader Should Know How to Spell,,Vocabulary.com has compiled this collection of spelling words for students in 6th grade. Use the Spelling Bee with these lists to watch your spelling skills soar.,https://cdn.vocabulary.com/units/gwjefzce/feature.png?width=500&v=18a47facf42,,,Grade 6,/lists/gwjefzce/150-words-every-6th-grader-should-know-how-to-spell
Facing the Lion,Growing Up Maasai on the African Savanna,"In this memoir, Jospeh Lemosolai Lekuton recounts his experiences of growing up as a member of the Maasai tribe in Kenya and his journey to America for college.",https://cdn.vocabulary.com/units/gwlgvkzf/cover.jpeg?width=220&v=17e53dd86cf,https://www.amazon.com/dp/0792272978?tag=vocabulary01-20,Joseph Lekuton,"Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Non-Fiction",/lists/gwlgvkzf/facing-the-lion
The Tale of Despereaux,,"For falling in love with a human princess, a mouse named Despereaux Tilling is sentenced to death in a rat-filled dungeon.",https://cdn.vocabulary.com/units/gx6gm6sc/cover.jpeg?width=220&v=18964562337,https://www.amazon.com/dp/0763680893?tag=vocabulary01-20,Kate DiCamillo,Literature,/lists/gx6gm6sc/tale-of-despereaux
A Little Princess,,"Ten-year-old Sara Crewe is treated like a princess at her boarding school. When her father dies unexpectedly in India, Sara must live in the attic and work as a maid and errand girl. With the help of her vivid imagination — and a mysterious benefactor — she learns to survive and thrive.",https://cdn.vocabulary.com/units/gxhrfrcf/cover.jpeg?width=220&v=16e1e004270,https://www.amazon.com/dp/0147513995?tag=vocabulary01-20,Frances Hodgson Burnett,"Grade 6,Literature",/lists/gxhrfrcf/little-princess
New Kid,,"In this graphic novel, an African-American seventh grader struggles to fit in at his new private school.",https://cdn.vocabulary.com/units/gxipmj27/cover.jpeg?width=220&v=16d2afbd313,https://www.amazon.com/dp/0062691198?tag=vocabulary01-20,Jerry Craft,"Grade 5,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature,Non-Fiction",/lists/gxipmj27/new-kid
"Ripped from the Headlines: October, 2019",Our Weekly Roundups of Words Used in the News,"Each week, we peruse the news to give you a word’s-eye view of what’s happening in the world. Here are some of our favorite examples from current events and culture stories. Whether you’re a news nerd, a word nerd, or just like learning, these are a fun way to wrap up your week.",https://cdn.vocabulary.com/units/gxux3pav/feature.png?width=500&v=16e26147c60,,,Events,/lists/gxux3pav/ripped-from-the-headlines-october-2019
In the Footsteps of Crazy Horse,,Jimmy McClean takes a road trip with his grandfather and learns about his Lakota heritage.,https://cdn.vocabulary.com/units/gxytykgy/cover.jpeg?width=220&v=16c300f64f6,https://www.amazon.com/dp/141970785X?tag=vocabulary01-20,Joseph Marshall III,"Literature,Non-Fiction",/lists/gxytykgy/in-the-footsteps-of-crazy-horse
Fish in a Tree,,"In this novel, a dedicated teacher and new friendships help Ally understand and come to terms with her dyslexia — and to realize that there's no shame in being different.",https://cdn.vocabulary.com/units/gyrqcwku/cover.jpeg?width=220&v=16aeaaa6958,https://www.amazon.com/dp/0399162593?tag=vocabulary01-20,Lynda Mullaly Hunt,"Grade 5,Literature",/lists/gyrqcwku/fish-in-a-tree
So Far from the Bamboo Grove,,This semi-autobiographical novel recounts the story of a Japanese family attempting to flee Korea and return home at the end of World War II.,https://cdn.vocabulary.com/units/gzyq3egu/cover.jpg?width=220&v=178374fbe0f,https://www.amazon.com/dp/0688131158?tag=vocabulary01-20,Yoko Kawashima Watkins,"Grade 6,Grade 7,Grade 8,Literature",/lists/gzyq3egu/so-far-from-the-bamboo-grove
White Rose,,"In this historical novel-in-verse, German teenager Sophie Scholl joins a secret resistance group called the White Rose in order to oppose the Nazi regime.",https://cdn.vocabulary.com/units/h2k2fkij/cover.jpeg?width=220&v=16c777aed18,https://www.amazon.com/dp/1328594432?tag=vocabulary01-20,Kip Wilson,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/h2k2fkij/white-rose
Beauty Queens,,"When their plane crashes on a desert island, the fifty contestants of the Miss Teen Dream Pageant learn what it takes to survive the toughest challenge. Learn these words from Libba Bray's hilarious social satire.",https://cdn.vocabulary.com/units/h2u24l4b/cover.jpeg?width=220&v=16c3011db8b,https://www.amazon.com/dp/0439895987?tag=vocabulary01-20,Libba Bray,Literature,/lists/h2u24l4b/beauty-queens
The Tipping Point,,"How does a small idea become a global craze? In this work of nonfiction, Malcolm Gladwell analyzes how trends are set in motion.",https://cdn.vocabulary.com/units/h2untv2r/cover.jpg?width=220&v=16aeaaa6958,https://www.amazon.com/dp/0316346624?tag=vocabulary01-20,Malcolm Gladwell,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Non-Fiction",/lists/h2untv2r/tipping-point
Mardi Gras,,"French for ""Fat Tuesday,"" Mardi Gras originated as a celebration of spring and evolved into an indulgent period often followed by fasting and sacrifice. Celebrate Mardi Gras by mastering this festive list of vocabulary and then you can, as they say in New Orleans, ""laissez les bons temps rouler!""",https://cdn.vocabulary.com/units/h3ggo73i/feature.png?width=500&v=1955ccc3b96,,,"Grade 5,Just for Fun",/lists/h3ggo73i/mardi-gras
The Prince and The Pauper,,"A young prince and a poor commoner look almost exactly alike, so they decide to switch places to discover how the other lives. Read the full text here.",https://cdn.vocabulary.com/units/h4kfdspn/cover.jpeg?width=220&v=16c24bc2942,https://www.amazon.com/dp/0140436693?tag=vocabulary01-20,Mark Twain,Literature,/lists/h4kfdspn/prince-and-the-pauper
The Voice That Challenged a Nation,Marian Anderson and the Struggle for Equal Rights,Freedman's meticulously researched biography of vocalist Marian Anderson contextualizes the singer's life within the broader movement for civil rights and equality.,https://cdn.vocabulary.com/units/h4oar4e4/cover.jpeg?width=220&v=16c250d491f,https://www.amazon.com/dp/0547480342?tag=vocabulary01-20,Russell Freedman,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature,Non-Fiction",/lists/h4oar4e4/voice-that-challenged-a-nation
Ripped from the Headlines: March 2025,Our Weekly Roundups of Current Events Vocabulary,"Each week, we peruse the news to give you a word's-eye view of what's happening in the world. Here are some of our favorite examples from current events and culture stories. Whether you're a news nerd, a word nerd, or you just like learning, these lists are a fun way to wrap up your week.",https://cdn.vocabulary.com/units/h7l2wmzf/feature.png?width=500&v=195d8d7e64c,,,Events,/lists/h7l2wmzf/ripped-from-the-headlines-march-2025
Akata Witch,,"Growing up in Nigeria, twelve-year-old Sunny feels like an outsider — but when she learns that she has magical powers, she must work with other magical children to defeat a powerful witch.",https://cdn.vocabulary.com/units/h7nor32h/cover.jpeg?width=220&v=16d06d67861,https://www.amazon.com/dp/0142420913?tag=vocabulary01-20,Nnedi Okorafor,Literature,/lists/h7nor32h/akata-witch
Essential Election Season Vocabulary,Words for Making Sense of Politics and Elections,Election season brings an onslaught of campaign ads and news stories full of buzzwords about voting and the political process. Knowing these words is fundamental to understanding democracy and to developing informed opinions about the issues voters face. Learn these terms and cast a vote for vocabulary!,https://cdn.vocabulary.com/units/h7ymym4g/feature.png?width=500&v=1930c2527a7,,,Just for Fun,/lists/h7ymym4g/essential-election-season-vocabulary
Outcasts United,The Story of a Refugee Soccer Team That Changed a Town,"This book tells the inspiring true story of Luma Mufleh, a Jordanian woman who quit her job in order to coach the Fugees, a soccer team of refugee boys.",https://cdn.vocabulary.com/units/hafkzlzh/cover.jpeg?width=220&v=16c25013363,https://www.amazon.com/dp/0385741952?tag=vocabulary01-20,Warren St. John,Non-Fiction,/lists/hafkzlzh/outcasts-united
The Far Away Brothers,Two Teenage Immigrants Making a Life in America,"In this nonfiction account, adapted for young adults, twin brothers Ernesto and Raúl make a difficult journey from El Salvador to California in search of a new life.",https://cdn.vocabulary.com/units/haiane6i/cover.jpeg?width=220&v=17957939623,https://www.amazon.com/dp/1984829807?tag=vocabulary01-20,Lauren Markham,"Literature,Non-Fiction",/lists/haiane6i/far-away-brothers
Spooked,How a Radio Broadcast and The War of the Worlds Sparked the 1938 Invasion of America,"In 1938, Orson Welles performed a radio version of H.G. Wells's science fiction novel The War of the Worlds — and inadvertently sparked panic among listeners who believed they were tuned in to a real news broadcast about an alien invasion. This award-winning book tells the story behind the broadcast and explores the effects of false information in the media.",https://cdn.vocabulary.com/units/hajix74y/cover.jpeg?width=220&v=16c25036ba5,https://www.amazon.com/dp/1629797766?tag=vocabulary01-20,Gail Jarrow,"Grade 5,Grade 6,Grade 7,Grade 8",/lists/hajix74y/spooked
Tumble,,"In a small town in New Mexico, twelve-year-old Adela Ramírez wrestles with the decision to be adopted, especially when she finds out more about her biological father.",https://cdn.vocabulary.com/units/havwwtup/cover.png?width=220&v=18c3bda38d2,https://www.amazon.com/dp/0593325184?tag=vocabulary01-20,Celia C. Pérez,Literature,/lists/havwwtup/tumble
Sojourner Truth: Ain't I a Woman?,,"This biography chronicles the life of Sojourner Truth, a woman who was born a slave, and who became the embodiment of the universal ideals of abolition and equality.",https://cdn.vocabulary.com/units/havykmcw/cover.png?width=220&v=186e6111894,https://www.amazon.com/dp/0590446916?tag=vocabulary01-20,Patricia McKissack,"Grade 9,Grade 10,Grade 11,Grade 12,Literature,Non-Fiction",/lists/havykmcw/sojourner-truth-aint-i-a-woman
A Vindication of the Rights of Woman,,"First published in 1792, this essay argues that women should have access to the same educational opportunities afforded to men. Read the full text here.",https://cdn.vocabulary.com/units/hbbcxjhr/cover.jpeg?width=220&v=16c24ff3424,https://www.amazon.com/dp/0141441259?tag=vocabulary01-20,Mary Wollstonecraft,"Grade 9,Grade 10,Grade 11,Grade 12,Literature,Non-Fiction",/lists/hbbcxjhr/vindication-of-the-rights-of-woman
200 Words Every 12th Grader Should Know How to Spell,,Vocabulary.com has compiled this collection of spelling words for students in 12th grade. Use the Spelling Bee with these lists to watch your spelling skills soar.,https://cdn.vocabulary.com/units/hco24qxv/feature.png?width=500&v=18a47e952e9,,,Grade 12,/lists/hco24qxv/words-every-12th-grader-should-know-how-to-spell
Better Nate Than Ever,,"In this hilarious novel, 13-year-old Nate sneaks off to New York City to audition for a role in a Broadway play. Learn this list in which the vocabulary from the novel takes center stage. Break a leg!",https://cdn.vocabulary.com/units/hcxq22fu/cover.jpeg?width=220&v=16c3024096b,https://www.amazon.com/dp/1442446897?tag=vocabulary01-20,Tim Federle,"Literature,Non-Fiction",/lists/hcxq22fu/better-nate-than-ever
The Field Guide to the North American Teenager,,"After relocating to Austin, Texas, a Canadian teenager attempts to make sense of American culture.",https://cdn.vocabulary.com/units/hdav64b7/cover.jpeg?width=220&v=172c8aed1aa,https://www.amazon.com/dp/0062824112?tag=vocabulary01-20,Ben Philippe,Literature,/lists/hdav64b7/field-guide-to-the-north-american-teenager
Letters from Rifka,,A young Jewish girl immigrates to America from Russia in the aftermath of World War I.,https://cdn.vocabulary.com/units/hdfcdoqs/cover.png?width=220&v=1797b3d0623,https://www.amazon.com/dp/0312535619?tag=vocabulary01-20,Karen Hesse,"Grade 5,Grade 6,Grade 7,Grade 8,Literature",/lists/hdfcdoqs/letters-from-rifka
My Life as an Ice Cream Sandwich,,"Science fiction fan Ebony-Grace struggles to adjust when she leaves her sheltered life in Huntsville, Alabama to spend the summer with her father in New York City.",https://cdn.vocabulary.com/units/hdtn5tgf/cover.jpeg?width=220&v=16d497948c5,https://www.amazon.com/dp/0399187359?tag=vocabulary01-20,Ibi Zoboi,Literature,/lists/hdtn5tgf/my-life-as-an-ice-cream-sandwich
Hooked on a Feeling,,"You'll be shocked, amazed, and delighted when you check out this collection of words to describe emotions.",https://cdn.vocabulary.com/units/hekz2imr/feature.png?width=500&v=18e5852fc82,,,Just for Fun,/lists/hekz2imr/hooked-on-a-feeling
A Tale of Two Cities,,"Set in both London and Paris, this novel brings the French Revolution vividly to life. Read the full text here.",https://cdn.vocabulary.com/units/her4gl7r/cover.jpeg?width=220&v=16c4010a7ec,https://www.amazon.com/dp/0141439602?tag=vocabulary01-20,Charles Dickens,"Grade 11,Grade 12",/lists/her4gl7r/tale-of-two-cities
Hiroshima,,"This novella tells the story of a young survivor of the bombing of Hiroshima, Japan.",https://cdn.vocabulary.com/units/hff5zwic/cover.jpeg?width=220&v=177ab4830d5,https://www.amazon.com/dp/0590208330?tag=vocabulary01-20,Laurence Yep,"Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/hff5zwic/hiroshima
Number the Stars,,"During World War II, ten-year-old Annemarie Johansen and her family take part in a courageous effort to protect the Jewish citizens of Denmark from the Nazis.",https://cdn.vocabulary.com/units/hgng7spy/cover.jpeg?width=220&v=1828d992d84,https://www.amazon.com/dp/0547577095?tag=vocabulary01-20,Lois Lowry,"Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/hgng7spy/number-the-stars
Charles and Emma,The Darwins' Leap of Faith,"This biography explores Charles Darwin's relationship with his wife Emma, whose faith both challenged and influenced Darwin's theory of evolution.",https://cdn.vocabulary.com/units/hhdqemha/cover.jpeg?width=220&v=16c25114456,https://www.amazon.com/dp/0312661045?tag=vocabulary01-20,Deborah Heiligman,"Grade 9,Grade 10,Grade 11,Grade 12,Non-Fiction",/lists/hhdqemha/charles-and-emma
A First Time for Everything,,"In this graphic memoir, the author recounts the struggles of middle school and how a three-week European group trip transformed his life in positive ways at the age of thirteen.",https://cdn.vocabulary.com/units/hhybquao/cover.png?width=220&v=18bde91ebc9,,Dan Santat,"Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature,Non-Fiction",/lists/hhybquao/first-time-for-everything
Behind the Beautiful Forevers,"Life, Death, and Hope in a Mumbai Undercity","This award-winning book chronicles the experiences of families living in an impoverished settlement in Mumbai, India.",https://cdn.vocabulary.com/units/hibolgwx/cover.jpg?width=220&v=17d77db9c22,https://www.amazon.com/dp/0812979329?tag=vocabulary01-20,Katherine Boo,"Literature,Non-Fiction",/lists/hibolgwx/behind-the-beautiful-forevers
Diary of a Wimpy Kid,,"In the first book of Jeff Kinney's popular series, Greg Heffley deals with the trials and tribulations of middle school.",https://cdn.vocabulary.com/units/hih5el5j/cover.jpeg?width=220&v=16d26dcccda,https://www.amazon.com/dp/0810993139?tag=vocabulary01-20,Jeff Kinney,"Literature,Non-Fiction",/lists/hih5el5j/diary-of-a-wimpy-kid
Great Expectations,,"Pip's life is changed when an anonymous benefactor pays for an expensive education in London, but he quickly discovers that you can't escape who you really are. Read the full text here.",https://cdn.vocabulary.com/units/hklvhhcv/cover.jpeg?width=220&v=1824011a2a1,https://www.amazon.com/dp/0141439564?tag=vocabulary01-20,Charles Dickens,"Grade 9,Grade 12",/lists/hklvhhcv/great-expectations
Words with 15 or More Letters,,"Big Word Day is a playful celebration of linguistic complexity, encouraging word enthusiasts to revel in the delight of polysyllabic treasures and embrace the grandeur of lengthy lexicons. On this day, language lovers indulge in the art of articulation, exploring the labyrinthine depths of verbose vocabulary with gusto and wit. It's a whimsical ode to the majesty of words, where sesquipedalianism reigns supreme and syllables stretch to reach the stars.",https://cdn.vocabulary.com/units/hktxk4mr/feature.png?width=500&v=18e3d2bf85f,,,Just for Fun,/lists/hktxk4mr/words-with-15-or-more-letters
Steelheart,,"In this first book of The Reckoners series, eighteen-year-old David Charleston looks for weaknesses in the supernaturally powerful Epics so that he can avenge the murder of his father and restore freedom to the city that used to be Chicago.",https://cdn.vocabulary.com/units/hlazozaw/cover.png?width=220&v=187fd2fd9cd,https://www.amazon.com/dp/0385743572?tag=vocabulary01-20,Brandon Sanderson,"Grade 6,Grade 7,Grade 8",/lists/hlazozaw/steelheart
Lord of the Flies,,"When they are marooned on a deserted island, a group of schoolboys attempts to form a new society.",https://cdn.vocabulary.com/units/hm6dhsxm/cover.jpeg?width=220&v=16d26a24801,https://www.amazon.com/dp/0399501487?tag=vocabulary01-20,William Golding,"Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/hm6dhsxm/lord-of-the-flies
A Game of Thrones,,"Lord Ned Stark is summoned to serve as an advisor to the King of Westeros, setting in motion a sweeping saga of courtly intrigue, military battle, and fire-breathing dragons.",https://cdn.vocabulary.com/units/hmmll7h7/cover.jpeg?width=220&v=18360ac8bd7,https://www.amazon.com/dp/0553573403?tag=vocabulary01-20,George R.R. Martin,Literature,/lists/hmmll7h7/game-of-thrones
In Memoriam 2022,Honoring Notable Figures We Lost This Year,"This collection is a tribute to some of those who passed in 2022, including influential figures in politics and entertainment. Each list includes words that appeared in that person's writing, interviews, and speeches as well words that others used to describe an aspect of their life.",https://cdn.vocabulary.com/units/hmwi2h6c/feature.png?width=500&v=18c5ab572f2,,,Events,/lists/hmwi2h6c/in-memoriam-2022
120 Words Every 9th Grader Should Know,Vocabulary You Need to Succeed,"By analyzing student data and commonly taught texts, Vocabulary.com has compiled this collection of essential vocabulary for students in 9th grade. Master high-frequency, high-utility words that you'll encounter across the curriculum.",https://cdn.vocabulary.com/units/hnahnhvy/feature.png?width=500&v=17d10701a60,,,Grade 9,/lists/hnahnhvy/120-words-every-9th-grader-should-know
The Martian Chronicles,,"In this collection of interrelated narratives, Ray Bradbury imagines the gradual colonization of Mars by earthlings.",https://cdn.vocabulary.com/units/hofwuqbb/cover.jpeg?width=220&v=16c302398b5,https://www.amazon.com/dp/1451678193?tag=vocabulary01-20,Ray Bradbury,Just for Fun,/lists/hofwuqbb/martian-chronicles
A Mighty Long Way,My Journey to Justice at Little Rock Central High School,"In this memoir, Carlotta Walls LaNier recounts being one of the first black students to integrate Little Rock Central High School.",https://cdn.vocabulary.com/units/homoxetf/cover.jpeg?width=220&v=174748a6b73,https://www.amazon.com/dp/0345511018?tag=vocabulary01-20,Carlotta Walls LaNier,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature,Non-Fiction",/lists/homoxetf/mighty-long-way
An Abundance of Katherines,,"After graduation, child prodigy Colin and his best friend Hassan go on a road trip and attempt to understand the nature of love.",https://cdn.vocabulary.com/units/hp4guase/cover.jpeg?width=220&v=16aeaaa6958,https://www.amazon.com/dp/0525476881?tag=vocabulary01-20,John Green,"Grade 9,Grade 10,Grade 11,Grade 12",/lists/hp4guase/abundance-of-katherines
Winger,,"Andrew Smith's hilarious and irreverent novel follows fourteen-year-old Ryan Dean West as he attempts to navigate friendship, love, and rugby while at boarding school.",https://cdn.vocabulary.com/units/hqwtqys7/cover.jpeg?width=220&v=16c3023576d,https://www.amazon.com/dp/1442444932?tag=vocabulary01-20,Andrew Smith,Literature,/lists/hqwtqys7/winger
The Haunting of Hill House,,"In this classic horror novel, four people experience supernatural phenomena when they stay at a mysterious mansion.",https://cdn.vocabulary.com/units/hru465s6/cover.jpeg?width=220&v=16c30042337,https://www.amazon.com/dp/0143039989?tag=vocabulary01-20,Shirley Jackson,"Literature,Just for Fun",/lists/hru465s6/haunting-of-hill-house
Between Shades of Gray,,"During World War II, a Lithuanian girl named Lina is detained by Soviet soldiers and taken to a work camp in Siberia, where she must fight to survive.",https://cdn.vocabulary.com/units/hry6vvgc/cover.jpeg?width=220&v=16aeaaa6958,https://www.amazon.com/dp/014242059X?tag=vocabulary01-20,Ruta Sepetys,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/hry6vvgc/between-shades-of-gray
Pictures of Hollis Wood,,"After many years in foster care, 12-year-old Hollis is determined to stay with her new caretaker, Josie — but she also misses the Regan family.",https://cdn.vocabulary.com/units/htrdosxo/cover.jpeg?width=220&v=1763ed77790,https://www.amazon.com/dp/0440415780?tag=vocabulary01-20,Patricia Reilly Giff,Literature,/lists/htrdosxo/pictures-of-hollis-wood
When You Were Everything,,Cleo tries to build new friendships while she mourns her relationship with her former best friend.,https://cdn.vocabulary.com/units/hu5odjyc/cover.jpeg?width=220&v=179c8703940,https://www.amazon.com/dp/1524715948?tag=vocabulary01-20,Ashley Woodfolk,Literature,/lists/hu5odjyc/when-you-were-everything
Sheep,,"Called many names by different people, a border collie longs for a loving home where he can herd sheep.",https://cdn.vocabulary.com/units/huwslzl6/cover.png?width=220&v=1880bca6dcc,https://www.amazon.com/dp/0312561164?tag=vocabulary01-20,Valerie Hobbs,Grade 5,/lists/huwslzl6/sheep
Emily of New Moon,,"After the death of her father, Emily Starr moves to New Moon Farm to live with her aunts and cousin. Read the full text here.",https://cdn.vocabulary.com/units/hvfebxc2/cover.jpeg?width=220&v=17941e1cfdd,https://www.amazon.com/dp/055323370X?tag=vocabulary01-20,L.M. Montgomery,"Grade 6,Grade 7,Grade 8,Literature",/lists/hvfebxc2/emily-of-new-moon
Sugar Changed the World,"A Story of Magic, Spice, Slavery, Freedom, and Science","In this nonfiction account, Marc Aronson and Marina Budhos trace the not-so-sweet history of sugar and its role in the slave trade.",https://cdn.vocabulary.com/units/hvlzk4bs/cover.png?width=220&v=18ad32236cd,https://www.amazon.com/dp/0544582470?tag=vocabulary01-20,Marc Aronson,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature,Non-Fiction",/lists/hvlzk4bs/sugar-changed-the-world
